year,informed_consent,sex,age,campus,modalidad,regime,career,field_OCDE,school,faculty,semester_admision,years_of_study,current_level,com_grade_point_average,A1,A2,A3,A4,E1,E2,E3,E4,E5,E6,C1,C2,C3,C4,C5,unders_and_accept_inst,unders_items,satisfac_instrument
2021,Sí,Masculino,33,SANTIAGO CENTRO,Presencial,EXECUTIVE,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,68,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Femenino,25,CONCEPCION,Presencial,DIURNO,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,201810,4,Tercer año o superior,59,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
2021,Sí,Masculino,20,LA FLORIDA,Presencial,VESPERTINO,TRABAJO SOCIAL,Medical and Health Sciences,TRABAJO SOCIAL,FAC. DE SALUD Y CS. SOCIALES,202210,2,Segundo año,0,4,3,3,4,5,4,5,4,4,6,6,6,5,6,6,3,3,3
2021,Sí,Femenino,36,SANTIAGO CENTRO,Presencial,EXECUTIVE,TÉCNICO DE NIVEL SUPERIOR EN ADMINISTRACIÓN DE EMPRESAS,Social Sciences,NEGOCIOS,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,61,1,1,3,3,1,1,1,1,1,1,1,1,2,1,1,3,3,3
2021,Sí,Masculino,31,ONLINE,A distancia,A DISTANCIA,INGENIERÍA DE EJECUCIÓN INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,63,3,5,1,1,1,5,4,5,4,6,5,5,1,1,3,3,2,3
2021,Sí,Femenino,25,PROVIDENCIA,Presencial,DIURNO,INGENIERÍA DE EJECUCIÓN EN ADMINISTRACIÓN DE EMPRESAS,Social Sciences,INGENIERÍA COMERCIAL,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,0,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4
2021,Sí,Masculino,34,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,63,4,1,1,2,1,3,3,1,2,3,3,4,3,2,2,2,2,2
2021,Sí,Femenino,43,MAIPU,Presencial,DIURNO,ENFERMERÍA,Medical and Health Sciences,ENFERMERÍA,FAC. DE SALUD Y CS. SOCIALES,202110,1,Primer año,48,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Masculino,33,ONLINE,A distancia,A DISTANCIA,INGENIERÍA DE EJECUCIÓN INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,27,5,1,1,5,5,2,2,2,2,2,6,6,6,6,6,2,4,4
2021,Sí,Masculino,35,ONLINE,A distancia,A DISTANCIA,INGENIERÍA DE EJECUCIÓN EN ADMINISTRACIÓN DE EMPRESAS,Social Sciences,INGENIERÍA COMERCIAL,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,6,6,3,4,5,4,5,5,5,5,6,6,6,6,6,6,3,3,3
2021,Sí,Masculino,43,PROVIDENCIA,Presencial,EXECUTIVE,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202010,2,Segundo año,54,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2021,Sí,Masculino,43,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,67,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Masculino,36,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,6,2,3,3,4,1,1,1,1,1,1,3,3,3,3,3,2,1,1
2021,Sí,Femenino,29,PROVIDENCIA,Presencial,DIURNO,ENFERMERÍA,Medical and Health Sciences,ENFERMERÍA,FAC. DE SALUD Y CS. SOCIALES,201610,6,Tercer año o superior,53,4,4,3,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4
2021,Sí,Masculino,38,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,62,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2
2021,Sí,Masculino,30,ONLINE,A distancia,A DISTANCIA,INGENIERÍA CIVIL INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202120,1,Primer año,64,5,5,5,5,6,5,6,6,6,6,5,5,5,5,6,3,3,3
2021,Sí,Femenino,23,LA FLORIDA,Presencial,DIURNO,ENFERMERÍA,Medical and Health Sciences,ENFERMERÍA,FAC. DE SALUD Y CS. SOCIALES,202110,1,Primer año,6,4,4,4,4,5,6,6,3,6,6,6,6,6,6,6,4,4,4
2021,Sí,Femenino,19,SANTIAGO CENTRO,Presencial,DIURNO,PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL,Social Sciences,EDUCACIÓN DIFERENCIAL,FAC. DE EDUCACIÓN,202110,1,Primer año,64,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4
2021,Sí,Femenino,21,PROVIDENCIA,Presencial,DIURNO,ENFERMERÍA,Medical and Health Sciences,ENFERMERÍA,FAC. DE SALUD Y CS. SOCIALES,201910,3,Tercer año o superior,6,2,4,4,3,3,3,4,3,4,4,3,3,4,4,4,4,4,4
2021,Sí,Masculino,29,ONLINE,A distancia,A DISTANCIA,INGENIERÍA DE EJECUCIÓN  EN INFORMÁTICA,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,63,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
2021,Sí,Masculino,20,PROVIDENCIA,Presencial,DIURNO,INGENIERÍA COMERCIAL,Engineering and Technology,INGENIERÍA COMERCIAL,FAC. DE INGENIERÍA Y NEGOCIOS,202010,2,Segundo año,59,2,4,6,5,5,4,5,5,5,5,4,5,5,5,5,3,3,3
2021,Sí,Femenino,32,MAIPU,Presencial,VESPERTINO,TÉCNICO DE NIVEL SUPERIOR EN ENFERMERÍA,Medical and Health Sciences,TÉC.DE NIVEL SUP.EN ENFERMERÍA,FAC. DE SALUD Y CS. SOCIALES,202110,1,Primer año,62,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Femenino,19,LA FLORIDA,Presencial,DIURNO,TÉCNICO DE NIVEL SUPERIOR EN ENFERMERÍA,Medical and Health Sciences,TÉC.DE NIVEL SUP.EN ENFERMERÍA,FAC. DE SALUD Y CS. SOCIALES,202110,1,Primer año,0,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2021,Sí,Femenino,19,VIÑA DEL MAR,Presencial,DIURNO,PSICOLOGÍA,Social Sciences,PSICOLOGÍA,FAC. DE SALUD Y CS. SOCIALES,202110,1,Primer año,59,3,4,5,5,5,4,5,5,5,5,5,5,5,4,5,3,3,3
2021,Sí,Femenino,19,VIÑA DEL MAR,Presencial,DIURNO,MEDICINA VETERINARÍA,Medical and Health Sciences,MEDICINA VETERINARIA,FAC. DE MED. VETER. Y AGRONOM.,202110,1,Primer año,48,6,6,4,6,5,6,6,5,5,5,6,6,6,6,6,3,3,3
2021,Sí,Femenino,26,VIÑA DEL MAR,Presencial,DIURNO,NUTRICIÓN Y DIETÉTICA,Medical and Health Sciences,NUTRICIÓN Y DIETÉTICA,FAC. DE SALUD Y CS. SOCIALES,202110,1,Primer año,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
2021,Sí,Masculino,37,SANTIAGO CENTRO,Presencial,EXECUTIVE,INGENIERÍA DE EJECUCIÓN INDUSTRIAL,Engineering and Technology,INGENIERÍA,FAC. DE INGENIERÍA Y NEGOCIOS,202110,1,Primer año,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4
